A
700
263 436
1 32.0 31.0
2 32.0 32.0
3 31.0 31.0
4 32.0 30.0
5 31.0 32.0
6 30.0 31.0
7 30.0 32.0
8 31.0 29.0
9 31.0 30.0
10 30.0 29.0
11 31.0 28.0
12 29.0 30.0
13 30.0 30.0
14 29.0 29.0
15 28.0 30.0
16 28.0 29.0
17 32.0 27.0
18 32.0 28.0
19 31.0 27.0
20 30.0 28.0
21 30.0 27.0
22 31.0 26.0
23 29.0 28.0
24 30.0 26.0
25 28.0 28.0
26 28.0 27.0
27 28.0 26.0
28 30.0 25.0
29 29.0 25.0
30 30.0 24.0
31 29.0 26.0
32 28.0 24.0
33 29.0 24.0
34 24.0 30.0
35 24.0 31.0
36 20.0 29.0
37 21.0 29.0
38 20.0 28.0
39 21.0 28.0
40 19.0 28.0
41 20.0 27.0
42 19.0 26.0
43 20.0 26.0
44 18.0 27.0
45 18.0 28.0
46 18.0 26.0
47 17.0 26.0
48 18.0 24.0
49 18.0 25.0
50 16.0 25.0
51 16.0 26.0
52 17.0 25.0
53 17.0 24.0
54 32.0 15.0
55 32.0 16.0
56 30.0 16.0
57 31.0 16.0
58 31.0 15.0
59 20.0 30.0
60 32.0 26.0
61 29.0 27.0
62 19.0 27.0
63 28.0 25.0
64 32.0 29.0
65 16.0 22.0
66 16.0 23.0
67 14.0 18.0
68 15.0 18.0
69 14.0 23.0
70 15.0 23.0
71 14.0 22.0
72 15.0 22.0
73 13.0 23.0
74 13.0 24.0
75 14.0 20.0
76 15.0 20.0
77 12.0 21.0
78 13.0 21.0
79 14.0 19.0
80 15.0 19.0
81 14.0 17.0
82 15.0 17.0
83 15.0 16.0
84 11.0 21.0
85 11.0 22.0
86 13.0 19.0
87 12.0 20.0
88 13.0 20.0
89 12.0 19.0
90 10.0 28.0
91 11.0 28.0
92 13.0 18.0
93 2.0 24.0
94 2.0 25.0
95 16.0 20.0
96 8.0 30.0
97 9.0 30.0
98 6.0 28.0
99 6.0 29.0
100 13.0 17.0
101 16.0 17.0
102 16.0 18.0
103 10.0 30.0
104 15.0 24.0
105 12.0 22.0
106 12.0 23.0
107 11.0 20.0
108 10.0 20.0
109 10.0 21.0
110 6.0 26.0
111 6.0 27.0
