700
196 321
1 149 1
1 52 1
1 144 1
1 2 1
3 18 1
3 5 1
3 147 1
3 4 1
4 47 1
4 97 1
4 6 1
5 17 1
5 14 1
5 6 1
6 84 1
6 7 1
7 14 1
7 36 1
7 10 1
8 73 1
8 123 1
8 102 1
8 9 1
9 135 1
9 129 1
9 74 1
10 72 1
10 56 1
10 13 1
11 161 1
11 44 1
11 155 1
11 12 1
12 28 1
12 59 1
12 55 1
13 33 1
13 25 1
13 14 1
14 19 1
15 158 1
15 157 1
15 48 1
15 16 1
16 165 1
16 133 1
16 114 1
17 50 1
17 19 1
17 18 1
18 106 1
18 93 1
19 33 1
19 26 1
20 122 1
20 164 1
20 21 1
21 123 1
21 152 1
21 73 1
22 124 1
22 139 1
22 52 1
22 23 1
24 62 1
24 33 1
24 25 1
25 56 1
26 50 1
26 53 1
26 30 1
27 140 1
27 59 1
27 38 1
27 28 1
28 141 1
28 137 1
29 54 1
29 45 1
29 58 1
29 30 1
30 49 1
30 46 1
31 44 1
31 35 1
31 34 1
31 32 1
32 42 1
32 38 1
32 59 1
33 53 1
34 61 1
34 43 1
35 43 1
35 42 1
35 39 1
36 144 1
36 84 1
36 72 1
37 93 1
37 106 1
37 42 1
37 38 1
38 103 1
39 118 1
39 138 1
39 54 1
40 110 2
40 177 2
40 117 1
40 41 1
41 87 1
41 120 1
42 118 1
43 138 1
43 143 1
44 59 1
45 57 1
45 64 1
45 46 1
46 119 1
46 53 1
47 157 1
47 147 1
47 48 1
48 97 1
48 133 1
49 54 1
49 118 1
49 50 1
50 93 1
51 84 1
51 139 1
51 144 1
51 52 1
52 150 1
53 62 1
54 60 1
56 109 1
57 63 1
57 65 1
57 58 1
58 60 1
58 121 1
60 138 1
60 94 1
61 154 2
61 143 1
62 180 4
62 119 1
63 107 1
63 64 1
64 119 1
65 121 1
65 107 1
66 87 1
66 116 1
66 67 1
67 175 2
67 88 1
68 96 1
68 74 1
68 69 1
69 169 2
69 89 1
70 156 1
70 140 1
70 153 1
70 71 1
71 157 1
71 158 1
71 91 1
72 151 1
72 109 1
73 129 1
73 134 1
74 102 1
74 89 1
75 81 1
75 115 1
75 76 1
76 96 2
76 169 2
76 80 1
77 167 1
77 129 1
77 134 1
77 78 1
78 130 1
79 172 2
79 170 2
79 83 1
79 80 1
80 115 1
81 168 2
81 142 1
81 108 1
82 175 2
82 136 1
82 108 1
82 83 1
83 115 1
84 97 1
85 109 1
85 132 1
85 151 1
85 86 1
86 122 2
86 149 1
86 90 1
87 117 1
87 88 1
88 120 1
89 135 1
90 99 1
90 132 1
91 163 1
91 156 1
91 92 1
92 158 1
93 118 1
94 121 1
94 95 1
95 143 1
95 138 1
96 168 2
96 102 1
97 139 1
98 113 1
98 131 1
98 99 1
99 168 2
99 128 1
100 113 1
100 120 1
100 101 1
101 136 1
101 108 1
101 142 1
103 140 1
103 153 1
103 106 1
104 105 1
105 116 4
105 148 1
106 147 1
107 193 4
108 115 1
109 127 1
110 179 2
110 112 1
110 111 1
111 126 1
111 131 1
112 131 1
112 113 1
113 142 1
114 158 1
116 176 2
116 117 1
120 136 1
122 168 2
122 123 1
124 165 1
124 133 1
124 125 1
126 128 1
126 127 1
127 132 1
128 131 1
128 132 1
129 130 1
130 135 1
133 139 1
134 166 1
134 152 1
135 181 2
140 141 1
141 156 1
144 151 1
145 154 1
145 159 1
145 146 1
146 161 1
146 160 1
146 155 1
147 153 1
149 151 1
153 157 1
154 155 1
156 162 1
169 184 2
169 172 2
170 175 2
170 171 2
171 190 4
171 173 2
171 172 2
172 174 2
173 186 2
173 174 2
174 185 2
174 184 2
176 177 2
177 179 2
177 178 2
179 180 2
182 187 2
182 184 2
182 185 2
182 183 2
185 186 2
186 191 4
186 194 4
188 196 8
188 190 4
188 189 4
189 192 4
189 191 4
190 191 4
191 195 4
1
65 98 3 1 2 3
1000
1 2 1255 115
14 143 0 144 1113426 169 1305278 195 1206386 220 2025394 245 2462309 271 2079178 296 1532185 322 863218 347 344170 372 251278 398 144666 423 67844 424 0
0
2 1 1271 139
20 251 0 252 524363 277 904569 301 916315 326 1316905 350 1433396 375 615424 400 771752 424 800085 449 788622 473 534701 498 1297846 522 1904886 547 2624986 572 1935382 596 2676039 621 2569595 645 3236513 670 4043991 671 0
0
3 3 1381 89
17 77 0 78 1302378 103 1875114 127 1614028 152 1391150 177 1328057 202 1929739 226 2934988 251 1538678 276 1273254 300 734140 325 940835 350 879254 375 744598 399 681428 424 715071 425 0
1 2
4 3 833 25
9 515 0 516 1941993 543 1854691 569 1981974 595 1670237 622 1787508 649 1821485 675 1678719 676 0
0
5 1 642 181
11 282 0 283 1735144 307 2353065 332 1396199 356 1882220 381 2155746 405 1093521 429 1416274 454 2008770 478 1199016 479 0
2 7 4
6 1 758 60
15 47 0 48 3595380 72 3407282 97 2308610 121 1516160 145 1905370 170 1873807 194 1231133 218 1496714 243 1239395 267 757647 291 474373 316 801501 340 863565 341 0
2 7 4
7 2 797 107
8 214 0 215 860622 239 759231 263 774164 286 1191819 310 3196069 334 1813868 335 0
0
8 1 1003 25
18 33 0 34 309482 59 429823 84 376635 109 497814 133 633074 158 1045866 183 1290960 208 1371115 233 1710413 258 1525767 283 1229120 308 1116214 332 1243260 357 1185173 382 1934061 407 560073 408 0
0
9 2 857 194
14 396 0 397 1732578 421 1651694 445 1949388 469 2514256 493 1847769 517 1715465 541 1799998 565 1325120 589 980683 613 792533 637 1136830 661 1012547 662 0
1 8
10 2 1343 157
31 10 0 11 3230542 36 2920065 60 2234420 85 3225489 109 2241613 134 1750354 158 1241747 183 1114250 207 1078249 232 1131978 256 1568383 281 1733743 305 2004525 330 1721565 355 1590680 379 2259953 404 3011151 428 2190569 453 1326690 477 1272486 502 1362666 526 1694382 551 1203524 575 1642472 600 1627147 624 1424279 649 1576825 673 1147075 698 1352826 699 0
2 9 8
11 1 658 196
