A
1000
212 344
1 55.0 26.0
2 56.0 26.0
3 54.0 28.0
4 55.0 28.0
5 55.0 27.0
6 54.0 26.0
7 54.0 27.0
8 55.0 18.0
9 56.0 18.0
10 61.0 28.0
11 62.0 28.0
12 55.0 17.0
13 54.0 17.0
14 56.0 27.0
15 52.0 21.0
16 52.0 22.0
17 51.0 21.0
18 52.0 20.0
19 51.0 22.0
20 51.0 20.0
21 49.0 22.0
22 50.0 22.0
23 50.0 21.0
24 60.0 6.0
25 60.0 7.0
26 58.0 23.0
27 59.0 23.0
28 58.0 7.0
29 59.0 7.0
30 58.0 6.0
31 59.0 6.0
32 51.0 11.0
33 51.0 12.0
34 47.0 14.0
35 48.0 14.0
36 50.0 11.0
37 50.0 9.0
38 51.0 9.0
39 51.0 8.0
40 50.0 8.0
41 50.0 10.0
42 51.0 10.0
43 49.0 10.0
44 49.0 11.0
45 49.0 12.0
46 48.0 11.0
47 48.0 12.0
48 48.0 10.0
49 47.0 13.0
50 48.0 13.0
51 59.0 28.0
52 59.0 29.0
53 46.0 14.0
54 46.0 13.0
55 59.0 20.0
56 60.0 20.0
57 63.0 20.0
58 64.0 20.0
59 58.0 8.0
60 59.0 8.0
61 45.0 10.0
62 46.0 10.0
63 63.0 22.0
64 63.0 23.0
65 60.0 28.0
66 57.0 26.0
67 58.0 26.0
68 57.0 24.0
69 57.0 25.0
70 56.0 23.0
71 56.0 24.0
72 61.0 16.0
73 62.0 16.0
74 56.0 16.0
75 57.0 16.0
76 57.0 18.0
77 57.0 19.0
78 46.0 11.0
79 46.0 12.0
80 60.0 22.0
81 60.0 23.0
82 57.0 22.0
83 58.0 22.0
84 52.0 12.0
85 57.0 23.0
86 63.0 25.0
87 64.0 25.0
88 60.0 18.0
89 60.0 19.0
90 60.0 29.0
91 47.0 12.0
92 58.0 28.0
93 58.0 29.0
94 58.0 27.0
95 59.0 27.0
96 48.0 20.0
97 49.0 20.0
98 57.0 20.0
99 62.0 20.0
100 56.0 17.0
101 50.0 12.0
102 63.0 24.0
103 57.0 17.0
104 58.0 17.0
105 56.0 30.0
106 57.0 30.0
107 57.0 27.0
108 49.0 21.0
109 58.0 30.0
110 45.0 11.0
111 59.0 19.0
112 54.0 18.0
113 52.0 9.0
114 55.0 16.0
115 60.0 27.0
116 52.0 11.0
117 56.0 28.0
118 62.0 18.0
119 63.0 18.0
120 61.0 17.0
121 61.0 18.0
122 58.0 20.0
123 58.0 21.0
124 50.0 20.0
125 64.0 18.0
126 54.0 16.0
127 58.0 25.0
128 60.0 8.0
129 57.0 21.0
130 56.0 19.0
131 59.0 24.0
132 56.0 21.0
133 62.0 22.0
134 62.0 23.0
135 58.0 24.0
136 61.0 29.0
137 62.0 29.0
138 60.0 17.0
139 59.0 22.0
140 52.0 10.0
141 58.0 18.0
142 63.0 19.0
143 64.0 19.0
144 62.0 19.0
145 60.0 26.0
146 58.0 16.0
147 52.0 8.0
148 56.0 20.0
149 58.0 19.0
150 56.0 22.0
151 59.0 18.0
152 60.0 24.0
153 60.0 16.0
154 61.0 30.0
155 62.0 17.0
156 61.0 19.0
157 61.0 20.0
158 62.0 24.0
159 64.0 22.0
160 64.0 23.0
161 64.0 24.0
162 56.0 25.0
163 57.0 28.0
164 59.0 26.0
165 56.0 31.0
166 57.0 31.0
167 56.0 32.0
168 57.0 32.0
169 58.0 31.0
170 58.0 32.0
171 59.0 30.0
172 60.0 30.0
173 62.0 25.0
174 62.0 26.0
175 63.0 26.0
176 64.0 26.0
177 50.0 23.0
178 52.0 28.0
179 54.0 24.0
180 60.0 32.0
181 58.0 2.0
182 58.0 4.0
183 52.0 26.0
184 48.0 8.0
185 52.0 16.0
186 52.0 18.0
187 60.0 2.0
188 48.0 16.0
189 60.0 4.0
190 58.0 0.0
191 60.0 0.0
192 56.0 0.0
193 56.0 2.0
194 56.0 8.0
195 54.0 20.0
196 56.0 4.0
197 44.0 8.0
198 46.0 8.0
199 46.0 16.0
200 64.0 28.0
201 56.0 6.0
202 52.0 24.0
203 50.0 24.0
204 64.0 16.0
205 56.0 12.0
206 64.0 8.0
207 64.0 12.0
208 60.0 12.0
209 64.0 4.0
210 64.0 0.0
211 40.0 0.0
212 48.0 0.0
211 212 8
207 208 4
202 203 2
182 189 2
182 196 2
181 193 2
181 190 2
181 187 2
181 182 2
179 202 2
178 183 2
176 200 2
175 176 1
174 175 1
173 174 1
172 180 2
171 172 1
169 170 1
166 169 1
166 168 1
165 167 1
165 166 1
160 161 1
159 160 1
158 173 1
156 157 1
154 172 1
153 208 4
152 158 2
148 195 2
147 194 4
146 153 2
145 152 2
145 174 2
145 164 1
144 156 1
142 144 1
142 143 1
141 151 1
141 149 1
138 153 1
136 154 1
136 137 1
134 158 1
133 134 1
132 148 1
132 150 1
131 152 1
131 135 1
130 148 1
129 132 1
128 206 4
128 208 4
59 194 2
59 60 1
52 90 1
52 171 1
52 93 1
51 95 1
51 65 1
51 92 1
51 52 1
49 54 1
49 91 1
49 50 1
48 62 2
48 184 2
197 198 2
47 50 1
47 91 1
196 201 2
46 48 1
46 47 1
45 47 1
45 101 1
127 135 1
44 46 1
44 45 1
126 185 2
43 44 1
43 48 1
125 204 2
125 143 1
42 140 1
41 43 1
41 42 1
194 205 4
194 201 2
40 184 2
193 196 2
39 147 1
39 40 1
192 212 8
192 193 2
38 113 1
38 42 1
38 39 1
37 41 1
37 40 1
37 38 1
36 44 1
36 101 1
36 41 1
35 188 2
35 50 1
34 49 1
34 53 1
34 35 1
33 101 1
33 84 1
123 129 1
32 116 1
32 42 1
32 36 1
32 33 1
122 149 1
122 123 1
191 210 4
121 156 1
30 201 2
30 182 2
30 31 1
120 138 1
120 155 1
120 121 1
187 191 2
187 189 2
12 114 1
12 100 1
12 13 1
113 147 1
113 140 1
11 174 2
10 136 1
10 65 1
10 11 1
112 195 2
112 186 2
9 130 1
9 76 1
9 100 1
111 151 1
111 149 1
8 112 1
8 12 1
8 9 1
185 188 4
185 186 2
184 212 8
184 198 2
6 179 2
6 183 2
6 7 1
109 171 1
109 169 1
58 159 2
58 143 1
5 14 1
5 7 1
107 163 1
57 99 1
57 142 1
57 58 1
183 202 2
4 117 1
4 5 1
106 166 1
106 109 1
204 207 4
56 80 2
56 157 1
56 89 1
3 178 2
3 7 1
3 4 1
105 117 2
105 165 1
105 106 1
29 60 1
29 31 1
55 122 1
55 111 1
55 56 1
2 162 1
2 66 1
2 14 1
104 146 1
104 141 1
28 30 1
28 59 1
28 29 1
188 199 2
13 126 1
13 112 1
114 126 1
1 5 1
1 6 1
1 2 1
103 104 1
190 192 2
190 191 2
27 81 1
27 139 1
27 131 1
119 142 1
119 125 1
14 107 1
14 117 1
115 145 1
15 18 1
15 17 1
15 16 1
116 140 1
16 202 2
16 19 1
17 23 1
17 20 1
17 19 1
18 186 2
18 195 2
18 20 1
19 22 1
20 124 1
21 22 1
22 177 1
22 23 1
23 124 1
23 108 1
24 189 2
24 31 1
24 25 1
117 163 1
189 209 4
25 128 1
25 29 1
26 85 1
26 135 1
26 83 1
26 27 1
118 155 1
118 121 1
118 144 1
118 119 1
60 128 1
61 62 1
62 198 2
62 78 1
63 159 1
63 133 1
63 64 1
64 160 1
64 134 1
64 102 1
65 115 1
65 90 1
66 69 1
66 107 1
66 67 1
67 94 1
67 164 1
67 127 1
68 135 1
68 85 1
68 71 1
68 69 1
69 127 1
69 162 1
70 150 1
70 85 1
70 71 1
71 179 2
71 162 1
72 153 1
72 120 1
72 73 1
73 204 2
73 155 1
74 205 4
74 114 1
74 100 1
74 75 1
75 146 1
75 103 1
76 141 1
76 103 1
76 77 1
77 149 1
77 130 1
77 98 1
78 110 1
78 79 1
205 208 4
79 91 1
80 133 2
80 139 1
80 81 1
81 152 1
82 150 1
82 85 1
82 129 1
82 83 1
206 209 4
206 207 4
83 123 1
83 139 1
84 205 4
84 185 4
84 116 1
86 102 1
86 175 1
86 173 1
86 87 1
209 210 4
87 176 1
87 161 1
88 151 1
88 121 1
88 138 1
88 89 1
89 156 1
89 111 1
90 136 1
90 172 1
92 163 1
92 94 1
92 93 1
93 109 1
94 107 1
94 95 1
95 164 1
95 115 1
96 188 4
96 97 1
97 108 1
97 124 1
98 122 1
98 129 1
98 148 1
99 133 2
99 157 1
99 144 1
100 103 1
102 161 1
102 158 1
5
21 62 3 1 2 3
56 97 2 2 3
129 76 3 1 2 3
122 78 1 1
37 51 2 2 3
250
1 2 661 108 0.9222014661280439 0.10449738750387097 0
23 171 0 172 4154755 197 2341886 221 2122873 246 1596281 271 991385 295 1016921 320 855337 345 738933 369 524737 394 393376 419 209560 443 200504 468 244724 492 334859 517 385612 542 435746 566 395789 591 429491 616 329652 640 327979 665 537271 666 0
0
2 3 1369 201 0.9250744158048799 0.11881930322364734 0
43 1 0 2 1757851 27 902228 52 1040678 77 551562 102 590071 127 483637 152 761325 177 451224 202 563906 227 984237 251 1164413 276 945942 301 1271997 326 2325630 351 2855266 376 2686079 401 2730139 426 2023772 451 1336934 476 1796554 501 1385115 526 1204964 551 1564155 576 1372257 601 1007266 626 1783033 651 1608950 676 1630296 701 2724004 726 1543569 751 763535 775 1810895 800 1776838 825 1411036 850 1344249 875 781408 900 730876 925 432986 950 751500 975 652591 1000 372103 1001 0
1 1
3 2 1347 85 0.9133987333071985 0.14376741187536632 0
23 235 0 236 4436148 261 3170837 285 2204272 309 1179223 334 1599653 359 1016991 383 1123181 407 847616 432 384527 457 393360 481 245886 505 386256 530 415325 555 418546 579 537659 603 653311 628 731069 653 810956 677 834380 701 704387 726 612082 727 0
1 2
4 1 750 177 0.924632773118512 0.01948607202712559 0
14 614 0 615 1346413 639 1395115 663 1299929 687 783401 711 1074062 735 1423072 759 1184059 783 1240676 807 1372610 831 1715082 855 1717539 879 1603712 880 0
0
5 1 945 193 0.9230722380906424 0.04598918229555239 0
18 381 0 382 1405580 407 1261447 431 1269382 456 1588609 480 1103299 505 1400089 529 1222434 554 848968 578 711462 603 790263 627 1008553 652 1148175 676 806529 701 940601 725 951167 750 829997 751 0
1 4
6 1 555 39 0.9121826727078096 0.03366471404319092 0
10 620 0 621 2566518 645 1441153 669 1271207 693 960037 717 443182 741 764484 765 885756 789 778818 790 0
0
7 3 656 71 0.910011551588826 0.06506077104009801 0
21 178 0 179 384151 205 614881 230 590982 256 601321 281 829161 307 717921 333 505169 358 482685 384 320516 409 768327 435 737710 461 880398 486 1069878 512 1703134 538 2621284 563 3541248 589 2749785 614 2932127 640 3646829 641 0
0
8 2 740 99 0.9116758782722708 0.05289816329193408 0
20 326 0 327 1209252 352 664097 376 456442 401 411001 426 561921 451 638052 475 1003881 500 654064 525 833065 549 936005 574 1363126 599 1445947 623 1713037 648 1609760 673 1549660 698 1202498 722 1780738 747 2860397 748 0
1 7
9 3 984 23 0.9168806394678477 0.019773267132297323 0
27 39 0 40 1010414 65 728860 89 1134042 114 756868 138 857108 163 942314 187 1268921 212 919886 237 612919 261 360319 286 398689 310 775625 335 1030091 360 1152623 384 1553555 409 2437133 433 1291192 458 2140522 483 3475321 507 2363582 532 2289537 556 2374422 581 1351369 605 2416346 630 3596064 631 0
1 7
10 2 1099 95 0.9259941966172105 0.016212538691219126 0
15 447 0 448 900239 473 392028 499 580609 524 473734 549 942421 575 816178 600 773975 625 2024154 651 2245331 676 2090508 701 1579482 727 1283975 752 1527778 753 0
1 7
11 3 927 88 0.9145596423338174 0.09567739118536793 0
33 160 0 161 556332 186 489183 210 448661 235 415975 260 1183412 285 2413322 309 1923641 334 1845566 359 3196971 383 2216737 408 1928102 433 2542657 457 2125583 482 2335626 507 1202771 531 1193980 556 1605937 581 2482552 606 2497014 630 2937056 655 2339189 680 2579446 704 2383219 729 1769800 754 2197453 779 1791455 803 2046629 828 1853216 853 1646233 877 1428962 902 1075429 903 0
0
12 2 739 46 0.9284738980679659 0.04502485534264484 0
25 68 0 69 711919 94 534838 119 638311 143 842882 168 813584 193 1752521 218 1502954 243 903570 268 1137869 292 807527 317 916039 342 981354 367 1243929 392 919425 416 1348022 441 1457235 466 2352865 491 2758188 516 2173074 541 1322650 565 2444819 590 3140677 615 4402924 616 0
1 11
13 3 1398 132 0.9247372852212266 0.06351038398880358 0
32 161 0 162 374061 187 406246 212 441561 237 372993 262 371598 287 373188 312 304854 337 398227 362 398111 387 629361 412 583710 437 625675 462 619297 487 664243 512 812508 538 649615 563 761423 588 1050557 613 2080882 638 1752934 663 1447092 688 1814645 713 1667430 738 1273660 763 2466759 788 2430320 813 4208222 838 4531076 863 5308853 888 3975278 889 0
2 11 12
14 3 1336 124 0.9196716846800789 0.11842068449943623 0
32 99 0 100 700467 125 784491 150 747126 174 1047297 199 1274901 224 1807353 249 579792 273 698914 298 707410 323 1074114 348 1174906 372 926201 397 1527463 422 1127536 447 1155035 471 1204495 496 1224025 521 1012986 546 1375592 570 1981345 595 1152534 620 925613 645 577374 669 584153 694 717116 719 429145 744 483537 768 692192 793 550137 818 299025 819 0
0
15 3 689 207 0.9133828078479409 0.14375101231346685 0
16 645 0 646 514433 670 673950 695 579014 719 473744 744 1119844 768 1181991 793 904600 817 945704 842 993718 866 914205 891 1430165 915 1968484 940 1603000 964 1946538 965 0
1 14
16 3 872 205 0.9156137654824522 0.028013599649305325 0
