700
289 467
1 115 1
1 3 1
1 5 1
1 2 1
2 4 1
2 179 1
3 16 1
3 4 1
4 244 2
5 16 1
5 118 1
6 93 1
6 9 1
6 10 1
6 7 1
7 203 1
7 122 1
8 10 1
8 18 1
8 13 1
8 9 1
9 203 1
10 22 1
10 21 1
11 17 1
11 15 1
11 12 1
12 243 2
12 16 2
12 13 1
13 17 1
14 19 1
14 17 1
14 15 1
15 245 2
16 245 2
17 18 1
18 22 1
18 19 1
19 121 1
20 123 1
20 22 1
20 21 1
21 93 1
22 121 1
23 29 1
23 25 1
23 24 1
24 249 2
24 251 2
24 28 1
25 252 2
25 26 1
26 29 1
26 30 1
27 253 2
27 31 1
27 28 1
28 29 1
29 31 1
30 255 2
30 254 2
30 31 1
32 68 1
32 34 1
32 33 1
33 123 2
33 36 1
34 39 1
34 37 1
34 36 1
35 40 1
35 44 1
35 37 1
35 36 1
37 38 1
38 263 2
38 259 2
38 39 1
39 68 1
40 45 1
40 41 1
41 123 2
41 43 1
42 47 2
42 120 1
42 43 1
43 45 1
44 131 1
44 45 1
45 120 1
46 130 1
46 50 1
46 47 1
47 116 1
48 130 1
48 51 1
48 49 1
49 264 2
49 131 2
49 116 1
50 184 2
50 143 2
50 129 1
51 129 1
52 117 1
52 54 1
52 53 1
53 253 4
53 260 2
53 55 1
54 59 1
54 56 1
54 55 1
55 57 1
56 62 1
56 57 1
57 262 2
57 259 2
58 174 1
58 80 1
58 60 1
58 59 1
59 62 1
59 117 1
60 106 1
60 66 1
60 65 1
61 119 1
61 63 1
61 62 1
62 80 1
63 80 1
63 74 1
63 64 1
64 119 1
64 88 1
64 103 1
65 80 1
65 75 1
65 74 1
66 105 1
66 75 1
66 67 1
67 77 1
67 70 1
67 73 1
68 260 2
69 72 1
69 73 1
69 70 1
70 258 2
70 105 1
71 73 1
71 82 1
71 72 1
72 257 2
73 81 1
74 103 1
74 76 1
75 77 1
75 76 1
76 79 1
76 78 1
77 81 1
77 79 1
78 84 1
78 104 1
78 103 1
79 85 1
79 84 1
81 85 1
81 82 1
82 83 1
83 85 1
83 87 1
84 111 1
84 86 1
85 86 1
86 112 1
86 87 1
87 109 1
88 107 1
88 98 1
88 89 1
89 95 1
89 119 1
90 218 1
90 94 1
90 91 1
91 262 2
91 92 1
92 95 1
92 94 1
93 122 1
94 97 1
94 96 1
95 98 1
95 97 1
96 169 1
96 218 1
97 169 1
97 99 1
98 100 1
98 99 1
99 204 1
99 101 1
100 108 1
100 107 1
100 101 1
101 102 1
102 268 2
102 204 1
102 171 1
103 107 1
104 111 1
104 108 1
104 107 1
105 106 1
106 254 2
106 174 1
108 110 1
109 113 1
109 112 1
110 114 1
110 268 2
110 111 1
111 112 1
112 114 1
113 272 2
113 114 1
115 118 1
116 130 1
117 174 1
118 234 2
118 243 2
119 262 2
120 131 1
121 123 1
122 241 2
124 136 1
124 132 1
124 128 1
124 125 1
125 199 1
125 126 1
126 134 1
126 278 2
126 136 1
127 132 1
127 128 1
128 199 1
129 130 1
131 263 2
132 226 1
132 135 1
133 138 1
133 137 1
133 136 1
133 134 1
134 145 1
135 137 1
135 209 1
135 136 1
137 149 1
137 181 1
138 147 1
138 145 1
138 149 1
139 141 1
139 145 1
139 140 1
140 278 2
140 142 1
141 144 1
141 146 1
141 142 1
142 143 1
143 144 1
144 148 1
145 146 1
146 148 1
146 147 1
147 151 1
147 150 1
148 151 1
148 185 1
149 150 1
149 191 1
150 153 1
150 201 1
151 214 1
151 201 1
152 201 1
152 219 1
152 183 1
152 153 1
153 210 1
153 191 1
154 164 1
154 194 1
154 158 1
154 155 1
155 156 1
156 270 2
