300
308 504
1 268 2
1 3 1
1 2 1
4 7 1
4 6 1
4 5 1
5 266 4
5 9 1
6 8 1
6 10 1
6 9 1
7 271 2
7 8 1
8 11 1
9 22 1
10 22 1
10 11 1
11 270 2
11 283 2
12 16 1
12 15 1
12 13 1
13 271 2
13 14 1
14 25 1
14 16 1
15 270 2
15 20 1
15 17 1
16 18 1
16 17 1
17 21 1
17 26 1
18 27 1
18 26 1
18 25 1
19 51 1
19 43 1
19 46 1
19 20 1
20 21 1
21 51 1
21 24 1
22 279 2
23 40 2
23 55 2
23 51 1
23 24 1
24 26 1
25 141 1
26 28 1
27 141 1
27 29 1
27 28 1
28 37 1
29 32 1
29 37 1
29 30 1
30 141 1
30 31 1
31 34 1
31 32 1
32 33 1
32 36 1
33 35 1
33 34 1
35 36 1
35 39 1
36 38 1
36 37 1
37 41 1
38 39 1
38 42 1
38 41 1
39 58 1
40 42 1
40 72 1
40 41 1
42 172 1
42 58 1
43 45 1
43 44 1
44 283 2
44 270 2
44 47 1
45 46 1
45 48 1
45 47 1
46 50 1
47 49 1
48 50 1
48 49 1
49 272 2
50 54 1
50 52 1
52 53 1
52 75 1
53 59 1
53 56 1
53 54 1
54 55 1
55 60 1
55 59 1
56 75 1
56 57 1
57 289 2
57 59 1
57 62 1
58 188 1
59 63 1
60 63 1
60 61 1
61 64 1
62 69 1
62 63 1
63 64 1
64 65 1
64 69 1
65 70 1
65 67 1
65 66 1
67 71 1
67 68 1
69 287 2
69 70 1
70 71 1
71 303 2
73 74 1
74 293 2
74 236 1
75 272 2
75 273 2
76 234 1
76 180 1
76 130 1
76 77 1
77 232 1
78 243 1
78 240 1
78 223 1
78 79 1
79 215 1
79 250 1
79 187 1
80 125 1
80 86 1
80 83 1
80 81 1
81 196 1
81 108 1
82 243 1
82 240 1
82 86 1
82 83 1
83 196 1
84 221 1
84 105 1
84 176 1
84 85 1
85 250 1
85 174 1
85 186 1
86 129 1
87 173 1
87 90 1
87 88 1
88 278 4
88 301 2
88 132 1
89 173 1
89 197 1
89 90 1
90 305 2
90 280 2
91 158 1
91 207 1
91 182 1
91 92 1
92 246 1
92 121 1
93 95 1
93 119 1
93 145 1
93 94 1
94 131 1
94 96 1
95 99 1
95 149 1
95 96 1
96 100 1
96 144 1
97 245 1
97 105 1
97 221 1
97 98 1
98 242 1
98 178 1
98 148 1
99 106 1
99 152 1
99 100 1
100 197 1
100 107 1
101 192 1
