1000
226 370
1 68 1
1 170 1
1 2 1
2 216 4
2 3 1
3 68 1
3 5 1
4 183 1
4 68 1
4 5 1
5 214 2
6 8 1
6 7 1
7 9 1
7 108 1
7 39 1
8 15 1
8 14 1
8 9 1
9 25 1
9 95 1
10 204 2
10 56 1
10 11 1
11 121 1
11 127 1
12 73 1
12 161 1
12 13 1
13 215 2
13 118 1
14 19 1
15 95 1
15 46 1
15 19 1
16 24 1
16 38 1
16 42 1
16 17 1
17 177 1
17 96 1
17 18 1
18 38 1
18 110 1
18 21 1
19 61 1
19 47 1
20 100 1
20 38 1
20 31 1
20 21 1
21 109 1
21 28 1
22 100 1
22 44 1
22 23 1
23 28 1
24 96 1
24 95 1
24 25 1
25 164 1
25 108 1
26 151 1
26 141 1
26 137 1
26 27 1
27 93 1
27 70 1
27 157 1
28 179 1
28 100 1
29 207 2
29 91 1
29 30 1
30 173 1
30 76 1
31 126 1
31 145 1
31 37 1
32 107 1
32 162 1
32 150 1
32 33 1
33 69 1
33 66 1
33 131 1
34 114 1
34 168 1
34 88 1
34 35 1
35 163 1
35 84 1
35 83 1
36 43 1
36 145 1
36 45 1
36 37 1
37 44 1
37 100 1
38 126 1
39 139 1
39 92 1
40 155 1
40 101 1
40 41 1
41 154 1
41 129 1
42 95 1
42 126 1
42 46 1
43 67 1
43 44 1
44 48 2
45 67 1
45 65 1
45 52 1
46 61 1
46 77 1
48 162 2
48 85 1
48 49 1
49 84 1
49 83 1
50 78 1
50 80 1
50 51 1
52 145 1
52 63 1
52 53 1
53 77 1
53 55 1
53 61 1
54 62 1
54 55 1
55 63 1
55 115 1
56 121 1
56 116 1
57 153 1
57 117 1
57 58 1
58 194 2
58 140 1
58 88 1
59 70 1
59 144 1
59 94 1
59 60 1
60 150 1
60 146 1
60 71 1
61 115 1
62 64 1
62 78 1
62 63 1
63 65 1
64 79 1
64 124 1
64 65 1
65 69 1
66 162 1
66 67 1
67 69 1
68 188 1
69 124 1
70 151 1
70 71 1
71 106 1
71 93 1
72 167 1
72 87 1
72 73 1
73 118 1
73 191 1
74 171 1
74 181 1
74 75 1
75 174 1
75 193 1
75 112 1
76 175 1
76 178 1
76 91 1
77 126 1
77 145 1
78 133 1
78 79 1
79 80 1
79 81 1
80 82 1
81 124 1
81 138 1
81 82 1
82 156 1
84 85 1
84 114 1
85 86 1
86 130 1
86 89 1
86 114 1
87 224 8
87 226 8
87 118 1
88 90 1
89 136 1
89 99 1
89 90 1
90 140 1
90 114 1
91 190 1
93 148 1
93 134 1
94 151 1
94 113 1
94 143 1
96 164 1
96 97 1
97 184 1
97 176 1
97 177 1
98 136 1
98 129 1
98 143 1
98 99 1
99 144 1
99 130 1
101 143 1
101 129 1
101 113 1
102 103 1
103 147 1
103 155 1
104 125 1
104 111 1
104 105 1
105 119 1
105 127 1
105 121 1
106 150 1
106 148 1
106 107 1
107 131 1
107 128 1
108 165 1
108 139 1
109 110 1
110 180 1
110 177 1
111 119 1
111 132 1
112 187 1
112 170 1
113 155 1
113 147 1
116 217 4
116 125 1
117 135 1
117 140 1
117 142 1
119 122 1
119 120 1
120 127 1
120 123 1
121 125 1
122 132 1
122 123 1
123 205 2
124 131 1
127 206 2
128 138 1
128 148 1
128 152 1
129 135 1
130 146 1
131 138 1
132 221 4
132 218 4
134 157 1
134 149 1
135 154 1
135 136 1
136 140 1
137 159 1
137 157 1
138 156 1
139 166 1
141 147 1
142 154 1
142 153 1
143 144 1
144 146 1
146 158 1
147 151 1
148 149 1
149 152 1
150 158 1
152 156 1
153 197 2
153 195 2
158 162 1
160 171 1
160 181 1
160 161 1
161 191 1
161 172 1
163 168 1
164 176 1
164 165 1
165 186 1
165 166 1
166 189 1
167 210 2
167 191 1
168 169 1
169 194 2
170 188 1
171 193 1
171 172 1
172 192 1
173 211 2
173 175 1
173 174 1
174 187 1
175 187 1
175 183 1
176 186 1
176 185 1
177 182 1
178 183 1
178 190 1
181 210 2
181 211 2
183 188 1
187 188 1
190 214 2
192 215 2
192 193 1
194 196 2
194 195 2
195 198 2
195 200 2
196 200 2
197 199 2
197 198 2
198 203 2
198 201 2
199 220 4
199 203 2
200 209 2
200 201 2
201 208 2
201 202 2
202 203 2
204 225 8
204 206 2
205 220 4
205 206 2
207 211 2
207 213 2
210 212 2
211 212 2
212 213 2
213 223 8
215 216 4
216 222 8
217 218 4
218 219 4
219 223 8
219 221 4
223 224 8
1
140 98 3 1 2 3
501
1 1 1198 143
33 231 0 232 151509 257 84082 282 68460 307 140117 332 210210 357 163662 382 196794 407 181329 432 192528 457 134915 482 183109 507 163029 532 240577 557 168344 582 180489 607 320332 632 247020 657 251949 682 376962 707 640636 732 908646 757 698771 782 1125318 807 1459030 832 1460369 857 1687137 882 1816309 907 3096323 932 4147707 957 4337004 982 6733234 983 0
0
2 1 567 69
23 456 0 457 552024 482 405829 506 432338 531 673924 555 486119 580 1177587 604 2207166 629 1852722 653 2723827 678 2915459 703 3929425 727 2991377 752 1809137 776 2069689 801 1004894 825 867966 850 995203 874 1362153 899 1668551 923 2159046 948 2830451 949 0
0
3 2 608 80
