A
1000
362 573
1 21.0 27.0
2 22.0 27.0
3 21.0 28.0
4 21.0 26.0
5 20.0 26.0
6 20.0 24.0
7 21.0 24.0
8 19.0 28.0
9 20.0 28.0
10 19.0 29.0
11 18.0 28.0
12 18.0 29.0
13 17.0 28.0
14 20.0 23.0
15 19.0 23.0
16 18.0 24.0
17 19.0 24.0
18 18.0 23.0
19 19.0 22.0
20 20.0 22.0
21 20.0 27.0
22 19.0 21.0
23 18.0 21.0
24 20.0 25.0
25 17.0 24.0
26 18.0 22.0
27 17.0 22.0
28 17.0 23.0
29 16.0 23.0
30 16.0 24.0
31 16.0 22.0
32 18.0 19.0
33 19.0 19.0
34 19.0 17.0
35 20.0 17.0
36 18.0 18.0
37 20.0 16.0
38 19.0 16.0
39 22.0 26.0
40 19.0 18.0
41 17.0 18.0
42 18.0 17.0
43 18.0 16.0
44 16.0 18.0
45 17.0 17.0
46 16.0 17.0
47 17.0 16.0
48 31.0 11.0
49 32.0 11.0
50 32.0 10.0
51 31.0 12.0
52 30.0 11.0
53 31.0 10.0
54 31.0 9.0
55 32.0 9.0
56 32.0 8.0
57 31.0 8.0
58 30.0 10.0
59 30.0 9.0
60 30.0 12.0
61 28.0 12.0
62 29.0 12.0
63 21.0 25.0
64 29.0 11.0
65 30.0 8.0
66 29.0 8.0
67 29.0 9.0
68 29.0 10.0
69 28.0 9.0
70 28.0 8.0
71 28.0 11.0
72 27.0 11.0
73 27.0 12.0
74 26.0 11.0
75 28.0 10.0
76 27.0 9.0
77 27.0 8.0
78 27.0 10.0
79 26.0 9.0
80 21.0 8.0
81 22.0 8.0
82 25.0 8.0
83 26.0 8.0
84 12.0 10.0
85 13.0 10.0
86 9.0 7.0
87 10.0 7.0
88 11.0 16.0
89 12.0 16.0
90 12.0 15.0
91 12.0 14.0
92 11.0 15.0
93 11.0 14.0
94 9.0 8.0
95 10.0 8.0
96 9.0 4.0
97 10.0 4.0
98 10.0 15.0
99 10.0 16.0
100 8.0 13.0
101 9.0 13.0
102 17.0 11.0
103 17.0 12.0
104 12.0 11.0
105 12.0 12.0
106 22.0 12.0
107 22.0 13.0
108 11.0 10.0
109 11.0 11.0
110 12.0 9.0
111 13.0 9.0
112 23.0 7.0
113 24.0 7.0
114 9.0 11.0
115 9.0 12.0
116 10.0 10.0
117 13.0 8.0
118 13.0 14.0
119 13.0 15.0
