1000
186 295
1 4 1
1 3 1
1 2 1
2 60 1
3 60 1
3 76 1
3 5 1
4 7 1
4 76 1
5 10 1
5 14 1
5 13 1
6 76 1
6 11 1
6 9 1
6 7 1
7 8 1
8 161 2
8 11 1
9 18 1
9 10 1
10 76 1
10 15 1
11 18 1
12 132 1
12 14 1
12 13 1
13 60 1
14 15 1
14 16 1
15 101 1
16 132 1
16 101 1
17 22 1
17 19 1
17 18 1
18 21 1
19 161 2
19 24 1
19 25 1
20 101 2
20 165 2
20 23 1
20 21 1
21 22 1
22 23 1
22 24 1
23 26 1
24 77 1
24 26 1
26 28 1
26 27 1
27 97 1
27 29 1
29 165 2
29 32 1
29 30 1
30 31 1
30 34 1
31 35 1
31 45 1
31 32 1
32 97 1
32 33 1
34 45 1
34 43 1
34 37 1
35 36 1
36 45 1
36 69 1
36 48 1
37 39 1
37 38 1
38 165 2
38 167 2
38 41 1
39 41 1
39 42 1
39 43 1
40 58 2
40 166 2
40 42 1
40 41 1
42 44 1
43 46 1
43 44 1
44 169 2
44 47 1
45 46 1
46 47 1
46 48 1
47 70 1
48 145 1
48 70 1
49 55 1
49 51 1
49 50 1
50 168 2
50 53 1
51 53 1
51 66 1
51 54 1
52 64 1
52 66 1
52 53 1
54 56 1
54 59 1
54 55 1
55 166 2
55 57 1
56 63 1
56 61 1
56 57 1
57 58 1
58 169 2
58 63 1
59 61 1
59 66 1
59 67 1
61 62 1
62 170 2
62 63 1
64 78 1
64 65 1
65 67 1
65 68 1
65 66 1
67 95 1
68 78 1
68 95 1
68 96 1
70 92 2
70 71 1
72 75 1
72 80 1
72 73 1
73 92 1
73 79 1
74 75 1
75 86 1
78 110 1
81 155 1
81 82 1
82 85 1
82 152 1
83 147 1
83 126 1
83 84 1
84 141 1
85 157 1
85 86 1
86 170 4
86 111 1
87 129 1
87 113 1
87 107 1
87 88 1
88 138 1
88 130 1
89 171 2
89 115 2
89 93 1
89 90 1
90 149 1
90 98 1
91 92 1
92 169 2
93 119 1
93 98 1
94 96 1
94 123 1
94 95 1
95 170 2
96 125 1
96 110 1
98 120 1
98 156 1
99 174 2
99 137 1
99 100 1
100 153 1
100 127 1
101 162 2
102 182 2
102 179 2
102 116 1
102 103 1
103 139 1
103 121 1
104 175 2
104 124 1
104 122 1
104 105 1
105 126 1
105 118 1
105 112 1
106 151 1
106 143 1
106 108 1
106 107 1
107 130 1
107 109 1
108 133 1
108 109 1
109 137 1
109 113 1
110 131 1
112 158 1
112 122 1
112 154 1
113 128 1
113 153 1
114 118 1
114 126 1
114 147 1
114 115 1
115 146 1
115 150 1
116 139 1
116 117 1
118 124 1
118 150 1
119 142 2
119 120 1
120 134 1
121 175 2
121 127 2
121 140 1
122 136 1
123 183 2
123 177 2
123 125 1
124 159 1
125 131 1
126 158 1
127 179 2
127 148 1
128 175 2
128 148 1
128 129 1
129 138 1
130 151 1
131 173 2
132 164 2
133 174 2
133 143 1
134 177 2
134 183 2
134 156 1
135 139 1
135 136 1
136 154 1
136 140 1
137 153 1
138 176 2
139 140 1
141 147 1
141 155 1
141 142 1
142 152 1
142 146 1
143 144 1
144 186 8
144 151 1
146 147 1
148 153 1
149 181 2
149 178 2
149 156 1
150 159 1
152 155 1
155 160 1
159 176 2
159 171 2
162 167 2
162 165 2
162 164 2
163 168 2
163 167 2
163 164 2
166 168 2
166 167 2
170 177 2
171 178 2
172 184 2
172 181 2
172 173 2
173 183 2
174 185 4
175 176 2
178 180 2
180 184 2
180 181 2
181 183 2
184 186 8
5
3 37 1 2
52 47 1 2
80 69 1 1
107 88 2 1 3
169 93 2 2 3
1001
1 2 996 92
24 441 0 442 3400290 467 2168352 491 1636824 516 1118609 541 1225585 565 1022913 590 1195073 615 1028361 639 627190 664 524826 689 508101 713 534331 738 493217 763 619834 787 1089737 812 654656 837 668224 861 539820 886 424684 911 497605 935 719327 960 329525 961 0
0
2 2 678 159
24 381 0 382 497654 407 513071 433 379398 458 426481 483 558056 508 734634 534 584807 559 919445 584 593207 610 1335082 635 884949 660 1104430 685 1194793 711 1248277 736 1148983 761 973404 787 1235338 812 1234578 837 2178292 862 2501056 888 2353975 913 2099163 914 0
1 1
3 1 1150 119
