300
315 525
1 3 1
1 15 1
1 2 1
2 293 2
2 4 1
3 6 1
3 7 1
3 4 1
4 5 1
5 294 2
5 6 1
6 8 1
7 15 1
7 8 1
7 16 1
8 20 2
8 17 1
9 28 1
9 12 1
9 10 1
10 293 2
10 11 1
11 15 1
11 12 1
12 14 1
12 13 1
13 33 1
13 30 1
13 28 1
14 33 1
14 16 1
14 15 1
16 63 1
16 17 1
17 18 1
18 63 1
18 45 1
18 44 1
19 22 1
19 21 1
19 20 1
20 294 2
20 24 1
21 24 1
21 31 1
21 25 1
22 56 1
22 60 1
22 31 1
23 45 1
23 25 1
23 46 1
23 24 1
25 26 1
26 90 1
26 88 1
26 31 1
27 39 1
27 30 1
27 28 1
29 41 1
29 34 1
29 39 1
29 30 1
30 32 1
31 67 1
32 35 1
32 34 1
32 33 1
33 63 1
34 156 1
34 36 1
35 63 1
35 44 1
35 36 1
36 37 1
37 52 1
37 47 1
37 44 1
38 41 1
38 40 1
38 39 1
40 296 4
40 43 1
41 43 1
41 156 1
42 51 2
42 156 1
42 43 1
44 48 1
45 48 1
46 48 1
46 49 1
47 49 1
47 50 1
47 48 1
49 92 2
49 54 1
50 53 1
50 52 1
50 54 1
51 123 4
51 53 1
51 52 1
53 55 1
54 55 1
55 99 2
56 59 1
56 57 1
57 294 2
57 58 1
58 206 1
58 59 1
59 61 1
59 60 1
60 67 1
60 65 1
61 206 1
61 65 1
61 62 1
62 214 1
62 164 1
62 64 1
64 69 1
64 68 1
64 65 1
65 66 1
66 91 1
66 68 1
66 67 1
67 90 1
68 94 1
68 70 1
69 70 1
69 73 1
69 164 1
70 95 1
70 80 1
71 77 1
71 75 1
71 72 1
72 213 1
72 74 1
73 80 1
73 78 1
73 74 1
74 75 1
74 164 1
75 76 1
75 78 1
76 84 1
76 79 1
76 77 1
77 196 1
78 79 1
78 81 1
79 86 1
79 83 1
80 107 1
80 81 1
81 198 1
81 86 1
82 86 1
82 87 1
82 83 1
83 84 1
84 196 1
85 198 1
85 87 1
85 109 1
85 86 1
87 311 4
87 197 1
88 89 1
88 92 1
89 97 1
89 93 1
89 90 1
90 91 1
91 94 1
91 93 1
92 97 1
92 96 1
93 133 1
93 185 1
94 133 1
94 95 1
95 108 1
95 107 1
96 98 1
96 99 1
97 185 1
97 98 1
98 101 1
98 100 1
99 141 1
99 100 1
100 145 1
100 139 1
101 145 1
101 185 1
101 102 1
102 113 1
102 105 1
102 103 1
103 133 1
103 185 1
103 104 1
104 114 1
104 113 1
104 108 1
105 146 1
105 158 1
105 145 1
106 114 1
106 111 1
106 108 1
106 107 1
107 198 1
108 133 1
109 197 1
109 111 1
109 112 1
110 117 1
110 112 1
110 114 1
110 111 1
111 198 1
112 119 1
112 115 1
113 142 1
113 158 1
114 142 1
115 120 1
115 197 1
116 118 1
116 163 1
116 159 1
116 117 1
117 119 1
117 142 1
118 166 1
118 121 1
118 119 1
119 120 1
120 121 1
121 259 1
121 238 1
122 126 1
122 124 1
122 123 1
123 297 2
123 179 1
124 125 1
124 179 1
124 161 1
125 128 1
125 127 1
125 126 1
126 298 2
126 130 1
127 132 1
127 131 1
127 130 1
128 161 1
128 134 1
128 132 1
129 300 2
129 131 1
129 130 1
131 136 1
132 138 1
132 136 1
134 138 1
134 135 1
135 176 1
135 183 1
135 175 1
136 137 1
137 188 1
137 138 1
138 183 1
139 144 1
139 143 1
139 141 1
140 150 1
140 143 1
140 141 1
142 159 1
143 147 1
143 148 1
144 145 1
144 146 1
144 147 1
146 157 1
146 152 1
147 154 1
147 152 1
148 154 1
148 151 1
148 150 1
149 162 2
149 175 1
149 151 1
149 150 1
151 181 1
151 177 1
152 153 1
152 168 1
153 155 1
153 180 1
153 154 1
154 181 1
155 169 1
155 172 1
155 168 1
157 168 1
157 160 1
157 158 1
158 159 1
159 160 1
160 167 1
160 163 1
161 162 1
162 179 1
163 171 1
163 166 1
164 213 1
165 171 1
165 201 1
165 166 1
166 259 1
167 171 1
167 169 1
167 168 1
169 170 1
169 173 1
170 174 1
170 171 1
172 173 1
172 191 1
172 180 1
173 174 1
173 192 1
174 278 1
174 193 1
175 177 1
176 186 1
176 184 1
176 177 1
177 178 1
178 181 1
180 182 1
180 181 1
183 188 1
183 186 1
186 189 1
186 187 1
187 190 1
187 188 1
188 315 8
193 231 1
193 194 1
194 195 1
195 231 1
195 243 1
195 239 1
196 310 4
199 284 1
199 283 1
199 274 1
199 200 1
200 275 1
200 245 1
200 288 1
201 231 2
201 280 1
201 259 1
202 252 1
202 233 1
202 203 1
203 305 2
203 234 1
204 230 1
204 220 1
204 205 1
205 308 2
205 255 2
205 221 1
206 214 1
207 309 2
207 247 1
207 208 1
208 270 1
208 240 1
209 210 1
210 277 1
210 215 1
210 240 1
211 262 1
211 254 1
211 269 1
211 212 1
212 225 1
212 244 1
212 229 1
213 214 1
215 256 1
215 250 1
215 216 1
216 277 1
216 268 1
217 232 1
217 265 1
217 218 1
218 272 1
218 249 1
218 260 1
219 230 1
219 257 1
219 220 1
220 221 1
220 258 1
221 222 1
222 301 2
222 258 1
222 234 1
223 242 1
223 287 1
223 285 1
223 224 1
224 243 1
224 239 1
225 292 1
225 226 1
227 279 2
227 271 2
227 242 1
227 228 1
228 231 1
228 243 1
229 254 1
230 309 2
232 307 2
233 251 1
233 258 1
233 234 1
235 272 1
235 253 1
235 249 1
235 236 1
237 259 1
237 291 1
237 280 1
237 238 1
238 266 1
240 250 1
240 241 1
242 243 1
244 266 1
244 269 1
245 246 1
246 262 1
246 275 1
246 254 1
248 249 1
250 255 1
251 257 1
251 252 1
252 312 8
253 276 1
253 267 1
254 289 1
255 309 2
255 256 1
