A
1000
270 447
1 34.0 59.0
2 34.0 60.0
3 34.0 58.0
4 32.0 60.0
5 33.0 60.0
6 32.0 59.0
7 33.0 59.0
8 33.0 58.0
9 34.0 57.0
10 34.0 56.0
11 32.0 58.0
12 33.0 57.0
13 32.0 57.0
14 32.0 56.0
15 33.0 56.0
16 28.0 39.0
17 28.0 40.0
18 27.0 39.0
19 28.0 38.0
20 26.0 40.0
21 27.0 40.0
22 26.0 39.0
23 27.0 38.0
24 25.0 39.0
25 26.0 38.0
26 24.0 39.0
27 24.0 40.0
28 24.0 38.0
29 25.0 38.0
30 15.0 56.0
31 16.0 56.0
32 16.0 54.0
33 16.0 55.0
34 14.0 56.0
35 15.0 55.0
36 14.0 55.0
37 14.0 54.0
38 15.0 54.0
39 16.0 52.0
40 16.0 53.0
41 15.0 53.0
42 15.0 52.0
43 13.0 54.0
44 14.0 53.0
45 13.0 53.0
46 13.0 52.0
47 14.0 52.0
48 12.0 53.0
49 15.0 51.0
50 14.0 51.0
51 14.0 50.0
52 13.0 50.0
53 2.0 49.0
54 2.0 50.0
55 3.0 62.0
56 4.0 62.0
57 5.0 52.0
58 6.0 52.0
59 12.0 52.0
60 6.0 62.0
61 6.0 63.0
62 8.0 46.0
63 8.0 47.0
64 11.0 55.0
65 12.0 55.0
66 2.0 55.0
67 2.0 56.0
68 3.0 48.0
69 4.0 48.0
70 0.0 56.0
71 1.0 56.0
72 6.0 47.0
73 7.0 47.0
74 5.0 51.0
75 6.0 51.0
76 16.0 51.0
77 3.0 56.0
78 3.0 57.0
79 4.0 60.0
80 5.0 60.0
81 2.0 51.0
82 2.0 52.0
83 10.0 52.0
84 11.0 52.0
85 10.0 53.0
86 11.0 53.0
87 1.0 60.0
88 2.0 60.0
89 0.0 53.0
90 1.0 53.0
91 1.0 54.0
92 6.0 46.0
93 7.0 46.0
94 8.0 55.0
95 9.0 55.0
96 8.0 58.0
97 8.0 59.0
98 2.0 61.0
99 1.0 62.0
100 2.0 62.0
101 3.0 60.0
102 3.0 61.0
103 9.0 51.0
104 9.0 52.0
105 0.0 48.0
106 1.0 48.0
107 8.0 60.0
108 1.0 55.0
109 16.0 50.0
110 8.0 62.0
111 8.0 63.0
112 8.0 48.0
113 8.0 49.0
114 7.0 59.0
115 7.0 60.0
116 4.0 46.0
117 5.0 46.0
118 5.0 47.0
119 8.0 52.0
120 8.0 53.0
121 8.0 64.0
122 12.0 54.0
123 6.0 60.0
124 12.0 56.0
125 0.0 49.0
126 1.0 49.0
127 25.0 40.0
128 0.0 52.0
129 4.0 47.0
130 8.0 54.0
131 7.0 62.0
132 7.0 63.0
133 0.0 50.0
134 3.0 49.0
135 0.0 61.0
136 1.0 61.0
137 3.0 63.0
138 3.0 64.0
139 7.0 61.0
140 1.0 52.0
141 4.0 49.0
142 8.0 57.0
143 7.0 64.0
144 11.0 54.0
145 3.0 55.0
146 15.0 50.0
147 6.0 57.0
148 6.0 58.0
149 9.0 48.0
150 4.0 63.0
151 8.0 61.0
152 9.0 53.0
153 10.0 56.0
154 11.0 56.0
155 4.0 54.0
156 4.0 55.0
157 13.0 49.0
158 14.0 49.0
159 4.0 61.0
160 2.0 54.0
161 8.0 50.0
162 6.0 64.0
163 7.0 58.0
164 0.0 55.0
165 7.0 56.0
166 8.0 56.0
167 3.0 51.0
168 3.0 54.0
169 5.0 45.0
170 4.0 57.0
171 5.0 48.0
172 9.0 54.0
173 5.0 57.0
174 10.0 54.0
175 0.0 62.0
176 2.0 63.0
177 2.0 64.0
178 10.0 51.0
179 2.0 53.0
180 4.0 50.0
181 8.0 51.0
182 7.0 48.0
183 0.0 60.0
184 13.0 48.0
185 14.0 48.0
186 9.0 56.0
187 3.0 58.0
188 4.0 51.0
189 4.0 52.0
190 4.0 45.0
191 6.0 44.0
192 6.0 45.0
193 6.0 48.0
194 1.0 50.0
195 12.0 49.0
